AccidentYear;Development;IncurredValue;PaidValue
1980;1;18824640,46;6568013,389
1981;1;19790047,61;6829082,192
1982;1;19355492,61;7127872,016
1983;1;20822178,79;7341065,584
1984;1;22109782,89;7506111,445
1985;1;22193916,16;8156719,244
1986;1;23807062,95;8347564,808
1987;1;23720403,48;9126784,001
1988;1;25555102,9;9488127,493
1989;1;26585454,94;9400578,265
1990;1;27246483,47;10964224,91
1991;1;30081895,04;10409911,04
1992;1;33612119,2;11417368,63
1993;1;34075101,98;11234563,75
1994;1;33716882,13;10673988,83
1995;1;30965441,65;9558906,349
1996;1;29776634,73;10952132,12
1997;1;26070347,41;7872613,313
1998;1;39797718,22;6350935,963
1999;1;46222102,43;8432818,114
1980;2;17946400;11395233,54
1981;2;18536913,34;12149696,15
1982;2;17455986,16;11843040,34
1983;2;19769971,34;12290373,41
1984;2;20471837,21;13207301,69
1985;2;21219598,29;13521919,03
1986;2;22097202,11;13796423,51
1987;2;24925813,14;15227749,97
1988;2;25683419,24;15448130,21
1989;2;26342450,26;14985305
1990;2;29515653,4;17248307,44
1991;2;30775768,37;17997125,66
1992;2;33320118,38;19261888,43
1993;2;35020665,75;19550172,53
1994;2;32875390,92;18533252,08
1995;2;32005465,24;18253234,36
1996;2;30269307,02;17000311,51
1997;2;37275313,09;13473783,98
1998;2;37609218,69;10983327,68
1999;2;;
1980;3;17320315,65;13083663,56
1981;3;17823219,83;13758225,41
1982;3;17137251,08;13222359,56
1983;3;19097826,99;14051329,16
1984;3;20462537,14;14750369,55
1985;3;20869096,52;15035573,44
1986;3;22142804,37;15524071,53
1987;3;24611872,15;17238889,25
1988;3;24844266,51;17132736,41
1989;3;25727282,45;16784106,72
1990;3;28821763,2;19294608,65
1991;3;30109649,21;20179611,3
1992;3;32790553,52;22002814,87
1993;3;33823203,59;22337677,48
1994;3;33855716,48;21913822,01
1995;3;33024607,79;21272223,19
1996;3;29316547,53;18642545,68
1997;3;32848775,17;14624624,08
1998;3;;
1999;3;;
1980;4;17066780,93;14169930,02
1981;4;17754315,53;14606341,71
1982;4;16756692,28;14249906,83
1983;4;19292449,83;14978480,89
1984;4;20160940,69;15693703,03
1985;4;21109393,1;16133751,67
1986;4;21957058,13;16428387,39
1987;4;24193137,47;18265147,49
1988;4;24672283,01;18339468,74
1989;4;24534354,18;17437574,87
1990;4;27474479,79;20414220,56
1991;4;30085788,08;21729732,06
1992;4;32051720,28;23533215,58
1993;4;35090111,9;24421119,03
1994;4;34312427,41;23967133,32
1995;4;31878687,21;22499799,71
1996;4;27386470,74;19846002,87
1997;4;;
1998;4;;
1999;4;;
1980;5;16822217,47;14666380,09
